timestamp,close,score
2025-11-11 21:00:00+01:00,103058.99,0.02500000000000001
2025-11-12 01:00:00+01:00,103310.0,-0.05500000000000001
2025-11-12 05:00:00+01:00,103112.66,-0.05500000000000001
2025-11-12 09:00:00+01:00,105020.83,0.26
2025-11-12 13:00:00+01:00,102173.51,-0.37
2025-11-12 17:00:00+01:00,101297.31,-0.29000000000000004
2025-11-12 21:00:00+01:00,101654.37,0.02500000000000001
2025-11-13 01:00:00+01:00,102130.21,-0.05500000000000001
2025-11-13 05:00:00+01:00,103475.66,0.33999999999999997
2025-11-13 09:00:00+01:00,102993.04,-0.05500000000000001
